X,Y,Unit.UnitI,Unit.Taxon,Unit.Quali,Unit.Qua_1,Unit.Qua_2,Unit.Qua_3,Unit.Qua_4,Unit.Qua_5,Unit.Repor,Taxon.ID,Taxon.Scie,Taxon.Finn,Taxon.Engl,Taxon.Swed,Unit.NameA,Unit.Abund,Unit.Inter,Unit.Int_1,Unit.Recor,Unit.Detai,Unit.TypeS,Unit.Det,Unit.Sex,Unit.LifeS,Unit.Nativ,Unit.Breed,Unit.Indiv,Unit.Invas,Unit.Notes,Unit.Annot,Unit.Media,Gathering.,Gatherin_1,Gatherin_2,Gatherin_3,Gatherin_4,Gatherin_5,Gatherin_6,Gatherin_7,Gatherin_8,Gatherin_9,Gatherin10,Gatherin11,Gatherin12,Gatherin13,Gatherin14,Gatherin15,Gatherin16,Gatherin17,Gatherin18,Gatherin19,Gatherin20,Gatherin21,Gatherin22,Gatherin23,Gatherin24,Gatherin25,Gatherin26,Gatherin27,Gatherin28,Gatherin29,Gatherin30,Gatherin31,Gatherin32,Gatherin33,Gatherin34,Gatherin35,Gatherin36,Gatherin37,Gatherin38,Gatherin39,Gatherin40,Gatherin41,Gatherin42,Gatherin43,Gatherin44,Gatherin45,Gatherin46,Gatherin47,Gatherin48,Gatherin49,Gatherin50,Gatherin51,Gatherin52,Gatherin53,Gatherin54,Gatherin55,Gatherin56,Document.D,Document_1,Document_2,Document_3,Document.P,Document.C,Document.Q,Document_4,Document_5,Document_6,Document.S,Document.N,Document.K,Document.F,Document.L,Document_7,Document.M,Document_8,Document_9,B7.tif,B14.tif,B1.tif,B12.tif,B15.tif,B6.tif,B9.tif,B11.tif,B2.tif,B5.tif,B16.tif,B8.tif,B3.tif,B10.tif,B17.tif,B4.tif,B19.tif,B18.tif,B13.tif
22.9102,62.8271,http://id.luomus.fi/MY.2372279,Timandra comai,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.61770,Timandra comai,etelänsuolaheinämittari,,,,,,,PRESERVED_SPECIMEN,PRESERVED_SPECIMEN,false,"Kaisila, J.",,ADULT,,,,,,0,0,http://id.luomus.fi/MY.2372278,,,,,,,,,,1952-07-07,1952-07-07,,,1952-07-07,"Sjöholm, Emil",62.827100000000002,62.827100000000002,22.910200000000000,22.910200000000000,62.827100000000002,22.910200000000000,6975866.000000000000000,6975867.000000000000000,3291807.000000000000000,3291808.000000000000000,6972943.000000000000000,6972944.000000000000000,291720.000000000000000,291721.000000000000000,697.000000000000000,329.000000000000000,6975.000000000000000,3291.000000000000000,1900,1950,1952,7,7,189,189,1,REPORTED_VALUE,Suomi,Etelä-Pohjanmaa (EP),Seinäjoki,COORDINATES,COORDINATES,COORDINATES,,Finland,Seinäjoki,Oa,,,,0,http://id.luomus.fi/HT.12132,PUBLIC,NONE,,false,http://tun.fi/HR.808,4,,,,http://tun.fi/KE.3,,,,,2016-06-15,2016-06-15,,0,338.00000,26.00000,30.00000,558.00000,32.00000,-129.00000,-37.00000,-78.00000,88.00000,209.00000,204.00000,125.00000,26.00000,140.00000,86.00000,8423.00000,105.00000,188.00000,75.00000
22.660549,63.702447,http://id.luomus.fi/MY.2372282,Timandra comai,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.61770,Timandra comai,etelänsuolaheinämittari,,,,,,,PRESERVED_SPECIMEN,PRESERVED_SPECIMEN,false,"Sjöholm, Emil",,ADULT,,,,,,0,0,http://id.luomus.fi/MY.2372281,,,,,,,,,,1958-06-29,1958-06-29,,,1958-06-29,"Sjöholm, Emil",63.702441999999998,63.702452000000001,22.660539000000000,22.660558000000002,63.702446999999999,22.660549000000000,7074103.000000000000000,7074104.000000000000000,3285703.000000000000000,3285704.000000000000000,7071140.000000000000000,7071141.000000000000000,285618.000000000000000,285619.000000000000000,707.000000000000000,328.000000000000000,7074.000000000000000,3285.000000000000000,1900,1950,1958,6,29,180,180,1,REPORTED_VALUE,Suomi,Keski-Pohjanmaa (KP),Pietarsaari,COORDINATES,COORDINATES,COORDINATES,,Finland,Jakobstad,Om,,,,0,http://id.luomus.fi/HT.12133,PUBLIC,NONE,,false,http://tun.fi/HR.808,4,,,,http://tun.fi/KE.3,,,,,2016-06-15,2016-06-15,,0,341.00000,27.00000,28.00000,536.00000,31.00000,-134.00000,-41.00000,-82.00000,86.00000,207.00000,191.00000,127.00000,25.00000,141.00000,84.00000,8650.00000,106.00000,171.00000,71.00000
22.660549,63.702447,http://id.luomus.fi/MY.2372288,Timandra comai,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.61770,Timandra comai,etelänsuolaheinämittari,,,,,,,PRESERVED_SPECIMEN,PRESERVED_SPECIMEN,false,"Sjöholm, Emil",,ADULT,,,,,,0,0,http://id.luomus.fi/MY.2372287,,,,,,,,,,1958-06-29,1958-06-29,,,1958-06-29,"Sjöholm, Emil",63.702441999999998,63.702452000000001,22.660539000000000,22.660558000000002,63.702446999999999,22.660549000000000,7074103.000000000000000,7074104.000000000000000,3285703.000000000000000,3285704.000000000000000,7071140.000000000000000,7071141.000000000000000,285618.000000000000000,285619.000000000000000,707.000000000000000,328.000000000000000,7074.000000000000000,3285.000000000000000,1900,1950,1958,6,29,180,180,1,REPORTED_VALUE,Suomi,Keski-Pohjanmaa (KP),Pietarsaari,COORDINATES,COORDINATES,COORDINATES,,Finland,Jakobstad,Om,,,,0,http://id.luomus.fi/HT.12135,PUBLIC,NONE,,false,http://tun.fi/HR.808,4,,,,http://tun.fi/KE.3,,,,,2016-06-15,2016-06-15,,0,341.00000,27.00000,28.00000,536.00000,31.00000,-134.00000,-41.00000,-82.00000,86.00000,207.00000,191.00000,127.00000,25.00000,141.00000,84.00000,8650.00000,106.00000,171.00000,71.00000
22.660549,63.702447,http://id.luomus.fi/MY.2372294,Timandra comai,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.61770,Timandra comai,etelänsuolaheinämittari,,,,,,,PRESERVED_SPECIMEN,PRESERVED_SPECIMEN,false,"Heino, E.",,ADULT,,,,,,0,0,http://id.luomus.fi/MY.2372293,,,,,,,,,,1957-07-13,1957-07-13,,,1957-07-13,"Sjöholm, Emil",63.702441999999998,63.702452000000001,22.660539000000000,22.660558000000002,63.702446999999999,22.660549000000000,7074103.000000000000000,7074104.000000000000000,3285703.000000000000000,3285704.000000000000000,7071140.000000000000000,7071141.000000000000000,285618.000000000000000,285619.000000000000000,707.000000000000000,328.000000000000000,7074.000000000000000,3285.000000000000000,1900,1950,1957,7,13,194,194,1,REPORTED_VALUE,Suomi,Keski-Pohjanmaa (KP),Pietarsaari,COORDINATES,COORDINATES,COORDINATES,,Finland,Jakobstad,Om,,,,0,http://id.luomus.fi/HT.12137,PUBLIC,NONE,,false,http://tun.fi/HR.808,4,,,,http://tun.fi/KE.3,,,,,2016-06-15,2016-06-15,,0,341.00000,27.00000,28.00000,536.00000,31.00000,-134.00000,-41.00000,-82.00000,86.00000,207.00000,191.00000,127.00000,25.00000,141.00000,84.00000,8650.00000,106.00000,171.00000,71.00000
25.5086,60.3453,http://id.luomus.fi/MY.2372300,Timandra comai,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.61770,Timandra comai,etelänsuolaheinämittari,,,,,,,PRESERVED_SPECIMEN,PRESERVED_SPECIMEN,false,"Suomalainen, E.",,ADULT,,,,,,0,0,http://id.luomus.fi/MY.2372299,,,,,,,,,,1951-08-26,1951-08-26,,,1951-08-26,"Sjöholm, Emil",60.345300000000002,60.345300000000002,25.508600000000001,25.508600000000001,60.345300000000002,25.508600000000001,6693608.000000000000000,6693609.000000000000000,3417823.000000000000000,3417824.000000000000000,6690799.000000000000000,6690800.000000000000000,417686.000000000000000,417687.000000000000000,669.000000000000000,341.000000000000000,6693.000000000000000,3417.000000000000000,1900,1950,1951,8,26,238,238,1,REPORTED_VALUE,Suomi,Uusimaa (U),Porvoo,COORDINATES,COORDINATES,COORDINATES,,Finland,Porvoo,N,,,,0,http://id.luomus.fi/HT.12139,PUBLIC,NONE,,false,http://tun.fi/HR.808,4,,,,http://tun.fi/KE.3,,,,,2016-06-15,2016-06-15,,0,309.00000,32.00000,47.00000,642.00000,30.00000,-98.00000,-21.00000,-58.00000,68.00000,211.00000,220.00000,102.00000,22.00000,157.00000,103.00000,8365.00000,130.00000,195.00000,79.00000
22.660549,63.702447,http://id.luomus.fi/MY.2372306,Timandra comai,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.61770,Timandra comai,etelänsuolaheinämittari,,,,,,,PRESERVED_SPECIMEN,PRESERVED_SPECIMEN,false,"Sjöholm, Emil",,ADULT,,,,,,0,0,http://id.luomus.fi/MY.2372305,,,,,,,,,,1966-09-03,1966-09-03,,,1966-09-03,"Sjöholm, Emil",63.702441999999998,63.702452000000001,22.660539000000000,22.660558000000002,63.702446999999999,22.660549000000000,7074103.000000000000000,7074104.000000000000000,3285703.000000000000000,3285704.000000000000000,7071140.000000000000000,7071141.000000000000000,285618.000000000000000,285619.000000000000000,707.000000000000000,328.000000000000000,7074.000000000000000,3285.000000000000000,1900,1960,1966,9,3,246,246,1,REPORTED_VALUE,Suomi,Keski-Pohjanmaa (KP),Pietarsaari,COORDINATES,COORDINATES,COORDINATES,,Finland,Jakobstad,Om,,,,0,http://id.luomus.fi/HT.12141,PUBLIC,NONE,,false,http://tun.fi/HR.808,4,,,,http://tun.fi/KE.3,,,,,2016-06-15,2016-06-15,,0,341.00000,27.00000,28.00000,536.00000,31.00000,-134.00000,-41.00000,-82.00000,86.00000,207.00000,191.00000,127.00000,25.00000,141.00000,84.00000,8650.00000,106.00000,171.00000,71.00000
27.609377,60.537926,http://tun.fi/JX.11255#19,Timandra comai,,,,NEUTRAL,,,SURE,http://tun.fi/MX.61770,Timandra comai,etelänsuolaheinämittari,,,,1,1,,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,false,,,,,,,,,0,0,http://tun.fi/JX.11255#2,,,,,,,,,,2017-05-25,2017-06-16,,,2017-05-25 - 2017-06-16,"Janne Liikanen; Simo Korpela",60.537925999999999,60.537925999999999,27.609376999999999,27.609376999999999,60.537925999999999,27.609376999999999,6714293.000000000000000,6714294.000000000000000,3533619.000000000000000,3533620.000000000000000,6711476.000000000000000,6711477.000000000000000,533436.000000000000000,533437.000000000000000,671.000000000000000,353.000000000000000,6714.000000000000000,3533.000000000000000,2000,2010,2017,,,145,167,1,REPORTED_VALUE,Suomi,Etelä-Karjala (EK),Virolahti,COORDINATES,COORDINATES,COORDINATES,,,,,,Ala-Pihlaja,Valorysä puutarha ja pellon reuna,0,http://tun.fi/JX.11255,PUBLIC,NONE,,false,http://tun.fi/HR.1747,2,,,,http://tun.fi/KE.388,,http://tun.fi/JX.519,,,2017-06-19,2017-06-19,,0,324.00000,29.00000,46.00000,617.00000,32.00000,-104.00000,-22.00000,-65.00000,72.00000,220.00000,218.00000,103.00000,22.00000,161.00000,98.00000,8772.00000,118.00000,189.00000,79.00000
27.735509,60.493419,http://tun.fi/JX.11265#46,Timandra comai,,,,NEUTRAL,,,SURE,http://tun.fi/MX.61770,Timandra comai,etelänsuolaheinämittari,,,,1,1,,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,false,,,,,,,,,0,0,http://tun.fi/JX.11265#2,,,,,,,,,,2017-05-25,2017-06-16,,,2017-05-25 - 2017-06-16,"Janne Liikanen; Simo Korpela",60.493419000000003,60.493419000000003,27.735509000000000,27.735509000000000,60.493419000000003,27.735509000000000,6709405.000000000000000,6709406.000000000000000,3540598.000000000000000,3540599.000000000000000,6706590.000000000000000,6706591.000000000000000,540412.000000000000000,540413.000000000000000,670.000000000000000,354.000000000000000,6709.000000000000000,3540.000000000000000,2000,2010,2017,,,145,167,1,REPORTED_VALUE,Suomi,Etelä-Karjala (EK),Virolahti,COORDINATES,COORDINATES,COORDINATES,,,,,,Hurppu,Valorysä,0,http://tun.fi/JX.11265,PUBLIC,NONE,,false,http://tun.fi/HR.1747,2,,,,http://tun.fi/KE.388,,http://tun.fi/JX.519,,,2017-06-19,2017-06-19,,0,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000,-2147483648.00000
21.755447,60.745704,http://tun.fi/JX.12075#28,Timandra comai,,,,NEUTRAL,,,SURE,http://tun.fi/MX.61770,Timandra comai,etelänsuolaheinämittari,,,,1,1,,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_PHOTO,false,,,,,,,,,0,1,http://tun.fi/JX.12075#2,,,,,,,,,,2017-07-08,2017-07-09,,,2017-07-08 - 2017-07-09,Tero Linjama,60.745704000000003,60.745704000000003,21.755447000000000,21.755447000000000,60.745704000000003,21.755447000000000,6748716.000000000000000,6748717.000000000000000,3214343.000000000000000,3214344.000000000000000,6745884.000000000000000,6745885.000000000000000,214288.000000000000000,214289.000000000000000,674.000000000000000,321.000000000000000,6748.000000000000000,3214.000000000000000,2000,2010,2017,7,,189,190,1,REPORTED_VALUE,Suomi,Varsinais-Suomi (V),Vehmaa,COORDINATES,COORDINATES,COORDINATES,,,,,,"Vehmaa, Appuljärvi","Sekavalo pihalla yön yli, 22:00 - 06:00 +9 yön alin, tyyntä ja selkeää",0,http://tun.fi/JX.12075,PUBLIC,NONE,,false,http://tun.fi/HR.1747,2,,,,http://tun.fi/KE.388,,http://tun.fi/JX.519,,,2017-07-09,2017-07-15,,0,304.00000,33.00000,48.00000,636.00000,28.00000,-92.00000,34.00000,-49.00000,76.00000,212.00000,206.00000,140.00000,25.00000,152.00000,105.00000,7855.00000,147.00000,184.00000,76.00000
22.119172,61.15192,http://tun.fi/JX.12214#67,Timandra griseata,,,,NEUTRAL,,,SURE,http://tun.fi/MX.61768,Timandra griseata,pohjansuolaheinämittari,,,,15,15,,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,false,,,,,,,,,0,0,http://tun.fi/JX.12214#2,,,,,,,,,,2017-07-02,2017-07-10,,,2017-07-02 - 2017-07-10,Janne Liikanen,61.151919999999997,61.151919999999997,22.119171999999999,22.119171999999999,61.151919999999997,22.119171999999999,6792363.000000000000000,6792364.000000000000000,3237513.000000000000000,3237514.000000000000000,6789513.000000000000000,6789514.000000000000000,237448.000000000000000,237449.000000000000000,679.000000000000000,323.000000000000000,6792.000000000000000,3237.000000000000000,2000,2010,2017,7,,183,191,1,REPORTED_VALUE,Suomi,Satakunta (St),Eura,COORDINATES,COORDINATES,COORDINATES,,,,,,Kuurnamäki,Valorysä Puutarha,0,http://tun.fi/JX.12214,PUBLIC,NONE,,false,http://tun.fi/HR.1747,2,,,,http://tun.fi/KE.388,,http://tun.fi/JX.519,,,2017-07-13,2017-07-13,,0,314.00000,34.00000,44.00000,633.00000,28.00000,-102.00000,-21.00000,-56.00000,79.00000,212.00000,213.00000,136.00000,25.00000,151.00000,105.00000,8048.00000,139.00000,194.00000,78.00000
