index;X;Y;Unit.UnitI;Unit.Taxon;Unit.Quali;Unit.Qua_1;Unit.Qua_2;Unit.Qua_3;Unit.Qua_4;Unit.Qua_5;Unit.Repor;Taxon.ID;Taxon.Scie;Taxon.Finn;Taxon.Engl;Taxon.Swed;Unit.NameA;Unit.Abund;Unit.Inter;Unit.Int_1;Unit.Recor;Unit.Detai;Unit.TypeS;Unit.Det;Unit.Sex;Unit.LifeS;Unit.Nativ;Unit.Breed;Unit.Indiv;Unit.Invas;Unit.Notes;Unit.Annot;Unit.Media;Gathering.;Gatherin_1;Gatherin_2;Gatherin_3;Gatherin_4;Gatherin_5;Gatherin_6;Gatherin_7;Gatherin_8;Gatherin_9;Gatherin10;Gatherin11;Gatherin12;Gatherin13;Gatherin14;Gatherin15;Gatherin16;Gatherin17;Gatherin18;Gatherin19;Gatherin20;Gatherin21;Gatherin22;Gatherin23;Gatherin24;Gatherin25;Gatherin26;Gatherin27;Gatherin28;Gatherin29;Gatherin30;Gatherin31;Gatherin32;Gatherin33;Gatherin34;Gatherin35;Gatherin36;Gatherin37;Gatherin38;Gatherin39;Gatherin40;Gatherin41;Gatherin42;Gatherin43;Gatherin44;Gatherin45;Gatherin46;Gatherin47;Gatherin48;Gatherin49;Gatherin50;Gatherin51;Gatherin52;Gatherin53;Gatherin54;Gatherin55;Gatherin56;Document.D;Document_1;Document_2;Document_3;Document.P;Document.C;Document.Q;Document_4;Document_5;Document_6;Document.S;Document.N;Document.K;Document.F;Document.L;Document_7;Document.M;Document_8;Document_9;B7.tif;B14.tif;B1.tif;B12.tif;B15.tif;B6.tif;B9.tif;B11.tif;B2.tif;B5.tif;B16.tif;B8.tif;B3.tif;B10.tif;B17.tif;B4.tif;B19.tif;B18.tif;B13.tif
5;27.66778;63.085125;http://tun.fi/KE.176/551d83622d0e2ccd91c9e72d#Unit1;Agrochola circellaris;NA;NA;NA;NEUTRAL;;NA;NA;http://tun.fi/MX.62664;Agrochola circellaris;keltamäkiyökkönen;NA;NA;NA;1;NA;1;HUMAN_OBSERVATION_UNSPECIFIED;HUMAN_OBSERVATION_UNSPECIFIED;FALSE;;NA;;NA;NA;NA;NA;;0;2;http://tun.fi/KE.176/551d83622d0e2ccd91c9e72d#Gathering1;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.4.2015;2.4.2015;NA;NA;2.4.2015;Marjo Keinänen;63.085125;63.085125;27.66778;27.66778;63.085125;27.66778;6998180;6998181;3533910;3533911;6995249;6995250;533726;533727;699;353;6998;3533;2000;2010;2015;4;2;92;92;1;REPORTED_VALUE;Suomi;Pohjois-Savo (PS);Siilinjärvi;COORDINATES;COORDINATES;COORDINATES;NA;FI;Siilinjärvi;;NA;Ahmo;en ole varma lajista;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;25.697947;61.118559;http://tun.fi/KE.423/0003-3713-8198-1049#Unit;Agrochola circellaris;NA;NA;NA;NEUTRAL;;NA;NA;http://tun.fi/MX.62664;Agrochola circellaris;keltamäkiyökkönen;NA;NA;NA;6;NA;6;HUMAN_OBSERVATION_UNSPECIFIED;HUMAN_OBSERVATION_UNSPECIFIED;FALSE;Olavi Blomster;NA;ADULT;NA;NA;NA;NA;lab. määritys;0;0;http://tun.fi/KE.423/0003-3713-8198-1049#Gathering;NA;NA;NA;NA;NA;NA;NA;NA;NA;21.9.2007;21.9.2007;NA;NA;21.9.2007;Olavi Blomster;61.118513;61.118605;25.697856;25.698038;61.118559;25.697947;6779530;6779540;3429980;3429990;6776686;6776696;429838;429848;677;342;6779;3429;2000;2000;2007;9;21;264;264;10;REPORTED_VALUE;Suomi;Etelä-Häme (EH);Asikkala;COORDINATES;COORDINATES;COORDINATES;NA;Finland;Asikkala;Ta;NA;Vesivehmaa SP 1;;0;http://tun.fi/KE.423/0003-3713-8198-1049;PUBLIC;NONE;NA;FALSE;http://tun.fi/HR.200;3;NA;NA;NA;http://tun.fi/KE.423;NA;NA;NA;NA;14.3.2008;22.11.2009;NA;0;326;33;38;649;29;-115;-30;-72;75;211;224;135;23;151;105;8623;131;207;83
8;29.684338;62.637253;http://tun.fi/KE.423/0027-8165-2329-1678#Unit;Agrochola circellaris;NA;NA;NA;NEUTRAL;;NA;NA;http://tun.fi/MX.62664;Agrochola circellaris;keltamäkiyökkönen;NA;NA;NA;1;NA;1;HUMAN_OBSERVATION_UNSPECIFIED;HUMAN_OBSERVATION_UNSPECIFIED;FALSE;Jukka Kettunen;NA;ADULT;NA;NA;NA;NA;;0;0;http://tun.fi/KE.423/0027-8165-2329-1678#Gathering;NA;NA;NA;NA;NA;NA;NA;NA;NA;17.9.2010;18.9.2010;NA;NA;2010-09-17 - 2010-09-18;Jukka Kettunen;62.636824;62.637683;29.683324;29.685352;62.637253;29.684338;6950900;6951000;3637800;3637900;6947988;6948088;637574;637674;695;363;6950;3637;2000;2010;2010;9;NA;260;261;100;REPORTED_VALUE;Suomi;Pohjois-Karjala (PK);Joensuu;COORDINATES;COORDINATES;COORDINATES;NA;Finland;Joensuu;Kb;NA;Kytö;;0;http://tun.fi/KE.423/0027-8165-2329-1678;PUBLIC;NONE;NA;FALSE;http://tun.fi/HR.200;3;NA;NA;NA;http://tun.fi/KE.423;NA;NA;NA;NA;18.9.2010;18.9.2010;NA;0;356;30;24;617;32;-144;-49;-97;78;212;220;131;21;149;97;9473;115;215;82
9;29.55196;62.38248;http://tun.fi/KE.423/0028-0362-7154-5721#Unit;Agrochola circellaris;NA;NA;NA;NEUTRAL;;NA;NA;http://tun.fi/MX.62664;Agrochola circellaris;keltamäkiyökkönen;NA;NA;NA;20;NA;20;HUMAN_OBSERVATION_UNSPECIFIED;HUMAN_OBSERVATION_UNSPECIFIED;FALSE;Tatu Sallinen;NA;ADULT;NA;NA;NA;NA;;0;0;http://tun.fi/KE.423/0028-0362-7154-5721#Gathering;NA;NA;NA;NA;NA;NA;NA;NA;NA;15.9.2012;28.9.2012;NA;NA;2012-09-15 - 2012-09-28;Tatu Sallinen;62.382437;62.382523;29.55186;29.552061;62.38248;29.55196;6922290;6922300;3632180;3632190;6919390;6919400;631956;631966;692;363;6922;3632;2000;2010;2012;9;NA;259;272;10;REPORTED_VALUE;Suomi;Pohjois-Karjala (PK);Rääkkylä;COORDINATES;COORDINATES;COORDINATES;NA;Finland;Rääkkylä;Kb;NA;Hernevaara;;0;http://tun.fi/KE.423/0028-0362-7154-5721;PUBLIC;NONE;NA;FALSE;http://tun.fi/HR.200;3;NA;NA;NA;http://tun.fi/KE.423;NA;NA;NA;NA;30.9.2012;20.4.2014;NA;0;351;31;27;625;31;-139;-46;-94;77;212;221;132;21;150;99;9377;119;213;82
10;27.732618;63.192196;http://tun.fi/KE.423/0029-6385-4988-1159#Unit;Agrochola circellaris;NA;NA;NA;NEUTRAL;;NA;NA;http://tun.fi/MX.62664;Agrochola circellaris;keltamäkiyökkönen;NA;NA;NA;1;NA;1;HUMAN_OBSERVATION_UNSPECIFIED;HUMAN_OBSERVATION_UNSPECIFIED;FALSE;Jorma Kelo;NA;ADULT;NA;NA;NA;NA;ei talletettu;0;0;http://tun.fi/KE.423/0029-6385-4988-1159#Gathering;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.9.2008;20.9.2008;NA;NA;2008-09-12 - 2008-09-20;Jorma Kelo;63.191753;63.19264;27.731613;27.733623;63.192196;27.732618;7010100;7010200;3537000;3537100;7007164;7007264;536814;536914;701;353;7010;3537;2000;2000;2008;9;NA;256;264;100;REPORTED_VALUE;Suomi;Pohjois-Savo (PS);Siilinjärvi;COORDINATES;COORDINATES;COORDINATES;NA;Finland;Siilinjärvi;Sb;NA;Musti;;0;http://tun.fi/KE.423/0029-6385-4988-1159;PUBLIC;NONE;NA;FALSE;http://tun.fi/HR.200;3;NA;NA;NA;http://tun.fi/KE.423;NA;NA;NA;NA;20.9.2008;20.9.2008;NA;0;345;33;24;624;29;-139;-47;-95;74;206;219;128;21;146;102;9270;123;214;83
11;23.961516;64.247072;http://tun.fi/KE.423/0059-8086-2034-3719#Unit;Agrochola circellaris;NA;NA;NA;NEUTRAL;;NA;NA;http://tun.fi/MX.62664;Agrochola circellaris;keltamäkiyökkönen;NA;NA;NA;1;NA;1;HUMAN_OBSERVATION_UNSPECIFIED;HUMAN_OBSERVATION_UNSPECIFIED;FALSE;Matti Ahola;NA;ADULT;NA;NA;NA;NA;;0;0;http://tun.fi/KE.423/0059-8086-2034-3719#Gathering;NA;NA;NA;NA;NA;NA;NA;NA;NA;7.9.2014;21.9.2014;NA;NA;2014-09-07 - 2014-09-21;Marko Sievänen;64.246602;64.247541;23.960536;23.962496;64.247072;23.961516;7131000;7131100;3352800;3352900;7128015;7128115;352688;352788;713;335;7131;3352;2000;2010;2014;9;NA;250;264;100;REPORTED_VALUE;Suomi;Keski-Pohjanmaa (KP);Kalajoki;COORDINATES;COORDINATES;COORDINATES;NA;Finland;Kalajoki;Om;NA;Koskitie;;0;http://tun.fi/KE.423/0059-8086-2034-3719;PUBLIC;NONE;NA;FALSE;http://tun.fi/HR.200;3;NA;NA;NA;http://tun.fi/KE.423;NA;NA;NA;NA;31.12.2014;31.12.2014;NA;0;347;27;24;523;30;-140;-47;-89;84;207;186;126;24;142;84;8915;103;171;70
12;24.830638;60.604796;http://tun.fi/KE.423/0060-6048-2010-3909#Unit;Agrochola circellaris;NA;NA;NA;NEUTRAL;;NA;NA;http://tun.fi/MX.62664;Agrochola circellaris;keltamäkiyökkönen;NA;NA;NA;1;NA;1;HUMAN_OBSERVATION_UNSPECIFIED;HUMAN_OBSERVATION_UNSPECIFIED;FALSE;Antti Aalto;NA;ADULT;NA;NA;NA;NA;;0;0;http://tun.fi/KE.423/0060-6048-2010-3909#Gathering;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.8.2012;12.9.2012;NA;NA;2012-08-08 - 2012-09-12;Antti Aalto;60.604333;60.60526;24.829756;24.83152;60.604796;24.830638;6723500;6723600;3381300;3381400;6720678;6720778;381178;381278;672;338;6723;3381;2000;2010;2012;NA;NA;221;256;100;REPORTED_VALUE;Suomi;Uusimaa (U);Hyvinkää;COORDINATES;COORDINATES;COORDINATES;NA;Finland;Hyvinkää;N;NA;Hyvinkäänkylä;;0;http://tun.fi/KE.423/0060-6048-2010-3909;PUBLIC;NONE;NA;FALSE;http://tun.fi/HR.200;3;NA;NA;NA;http://tun.fi/KE.423;NA;NA;NA;NA;4.4.2013;4.4.2013;NA;0;311;33;43;649;30;-103;-25;-61;71;208;223;137;22;152;105;8286;133;203;80
13;26.632894;60.90908;http://tun.fi/KE.423/0064-7195-3142-6922#Unit;Agrochola circellaris;NA;NA;NA;NEUTRAL;;NA;NA;http://tun.fi/MX.62664;Agrochola circellaris;keltamäkiyökkönen;NA;NA;NA;1;NA;1;HUMAN_OBSERVATION_UNSPECIFIED;HUMAN_OBSERVATION_UNSPECIFIED;FALSE;;NA;ADULT;NA;NA;NA;NA;;0;0;http://tun.fi/KE.423/0064-7195-3142-6922#Gathering;NA;NA;NA;NA;NA;NA;NA;NA;NA;17.9.2012;25.9.2012;NA;NA;2012-09-17 - 2012-09-25;Kari Palomäki;60.908628;60.909531;26.631978;26.63381;60.90908;26.632894;6755500;6755600;3480200;3480300;6752666;6752766;480038;480138;675;348;6755;3480;2000;2010;2012;9;NA;261;269;100;REPORTED_VALUE;Suomi;Etelä-Häme (EH);Kouvola;COORDINATES;COORDINATES;COORDINATES;NA;Finland;Kouvola;Ta;NA;Aronpelto;;0;http://tun.fi/KE.423/0064-7195-3142-6922;PUBLIC;NONE;NA;FALSE;http://tun.fi/HR.200;3;NA;NA;NA;http://tun.fi/KE.423;NA;NA;NA;NA;27.9.2012;27.9.2012;NA;0;325;30;42;622;31;-109;-26;-68;73;216;215;140;22;157;100;8725;121;194;80
14;27.651177;61.588257;http://tun.fi/KE.423/0068-9489-9442-8034#Unit;Agrochola circellaris;NA;NA;NA;NEUTRAL;;NA;NA;http://tun.fi/MX.62664;Agrochola circellaris;keltamäkiyökkönen;NA;NA;NA;5;NA;5;HUMAN_OBSERVATION_UNSPECIFIED;HUMAN_OBSERVATION_UNSPECIFIED;FALSE;Riitta Paananen;NA;ADULT;NA;NA;NA;NA;valokuva tai muu tallenne;0;0;http://tun.fi/KE.423/0068-9489-9442-8034#Gathering;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.9.2016;1.9.2016;NA;NA;1.9.2016;Riitta Paananen;61.587813;61.588702;27.650226;27.652128;61.588257;27.651177;6831300;6831400;3534700;3534800;6828436;6828536;534516;534616;683;353;6831;3534;2000;2010;2016;9;1;245;245;100;REPORTED_VALUE;Suomi;Etelä-Savo (ES);Mikkeli;COORDINATES;COORDINATES;COORDINATES;NA;Finland;Mikkeli;Sa;NA;Anttola;;0;http://tun.fi/KE.423/0068-9489-9442-8034;PUBLIC;NONE;NA;FALSE;http://tun.fi/HR.200;3;NA;NA;NA;http://tun.fi/KE.423;NA;NA;NA;NA;2.9.2016;2.9.2016;NA;0;331;33;39;632;29;-115;-31;-75;72;216;217;140;21;157;104;8989;129;201;82
15;25.754893;61.116537;http://tun.fi/KE.423/0072-5633-6929-4995#Unit;Agrochola circellaris;NA;NA;NA;NEUTRAL;;NA;NA;http://tun.fi/MX.62664;Agrochola circellaris;keltamäkiyökkönen;NA;NA;NA;2;NA;2;HUMAN_OBSERVATION_UNSPECIFIED;HUMAN_OBSERVATION_UNSPECIFIED;FALSE;Olavi Blomster;NA;ADULT;NA;NA;NA;NA;lab. määritys;0;0;http://tun.fi/KE.423/0072-5633-6929-4995#Gathering;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.9.2015;18.9.2015;NA;NA;2015-09-08 - 2015-09-18;Olavi Blomster;61.11608;61.116995;25.753983;25.755802;61.116537;25.754893;6779200;6779300;3433000;3433100;6776356;6776456;432857;432957;677;343;6779;3433;2000;2010;2015;9;NA;251;261;100;REPORTED_VALUE;Suomi;Etelä-Häme (EH);Asikkala;COORDINATES;COORDINATES;COORDINATES;NA;Finland;Asikkala;Ta;NA;Vesivehmaa SP A;;0;http://tun.fi/KE.423/0072-5633-6929-4995;PUBLIC;NONE;NA;FALSE;http://tun.fi/HR.200;3;NA;NA;NA;http://tun.fi/KE.423;NA;NA;NA;NA;5.10.2015;5.10.2015;NA;0;326;33;39;646;30;-114;-29;-70;75;212;223;135;23;152;105;8622;130;206;83
