X,Y,Unit.UnitI,Unit.Taxon,Unit.Quali,Unit.Qua_1,Unit.Qua_2,Unit.Qua_3,Unit.Qua_4,Unit.Qua_5,Unit.Repor,Taxon.ID,Taxon.Scie,Taxon.Finn,Taxon.Engl,Taxon.Swed,Unit.NameA,Unit.Abund,Unit.Inter,Unit.Int_1,Unit.Recor,Unit.Detai,Unit.TypeS,Unit.Det,Unit.Sex,Unit.LifeS,Unit.Nativ,Unit.Breed,Unit.Indiv,Unit.Invas,Unit.Notes,Unit.Annot,Unit.Media,Gathering.,Gatherin_1,Gatherin_2,Gatherin_3,Gatherin_4,Gatherin_5,Gatherin_6,Gatherin_7,Gatherin_8,Gatherin_9,Gatherin10,Gatherin11,Gatherin12,Gatherin13,Gatherin14,Gatherin15,Gatherin16,Gatherin17,Gatherin18,Gatherin19,Gatherin20,Gatherin21,Gatherin22,Gatherin23,Gatherin24,Gatherin25,Gatherin26,Gatherin27,Gatherin28,Gatherin29,Gatherin30,Gatherin31,Gatherin32,Gatherin33,Gatherin34,Gatherin35,Gatherin36,Gatherin37,Gatherin38,Gatherin39,Gatherin40,Gatherin41,Gatherin42,Gatherin43,Gatherin44,Gatherin45,Gatherin46,Gatherin47,Gatherin48,Gatherin49,Gatherin50,Gatherin51,Gatherin52,Gatherin53,Gatherin54,Gatherin55,Gatherin56,Document.D,Document_1,Document_2,Document_3,Document.P,Document.C,Document.Q,Document_4,Document_5,Document_6,Document.S,Document.N,Document.K,Document.F,Document.L,Document_7,Document.M,Document_8,Document_9,B7.tif,B14.tif,B1.tif,B12.tif,B15.tif,B6.tif,B9.tif,B11.tif,B2.tif,B5.tif,B16.tif,B8.tif,B3.tif,B10.tif,B17.tif,B4.tif,B19.tif,B18.tif,B13.tif
22.4005,60.2963,http://mus.utu.fi/MY.3722681,Agrostis capillaris,,,,,,,,http://tun.fi/MX.40593,Agrostis capillaris,nurmirölli,,rödven,,,,,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,false,,,,,,,,,0,0,http://mus.utu.fi/MY.3722668,,,,,,,,,,2017-06-29,2017-06-29,,,2017-06-29,"Numers, Mikael von",60.296300000000002,60.296300000000002,22.400500000000001,22.400500000000001,60.296300000000002,22.400500000000001,6696087.000000000000000,6696088.000000000000000,3245953.000000000000000,3245954.000000000000000,6693276.000000000000000,6693277.000000000000000,245887.000000000000000,245888.000000000000000,,,,,2000,2010,2017,6,29,180,180,1,REPORTED_VALUE,Suomi,Varsinais-Suomi (V),Parainen,COORDINATES,COORDINATES,COORDINATES,,Finland,Parainen,Varsinais-Suomi,,Qvidja,,0,http://mus.utu.fi/KBA.8,PUBLIC,NONE,,false,http://tun.fi/HR.769,,,,,http://tun.fi/KE.3,,,,,2017-06-30,2017-08-14,,0,304.00000,34.00000,53.00000,653.00000,27.00000,-87.00000,39.00000,-45.00000,74.00000,217.00000,209.00000,107.00000,24.00000,158.00000,107.00000,7920.00000,154.00000,187.00000,76.00000
23.532359,60.616933,http://tun.fi/KE.8/1128387#13,Agrostis capillaris,,,,NEUTRAL,,,,http://tun.fi/MX.40593,Agrostis capillaris,nurmirölli,,rödven,,useita,,,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_PHOTO,false,,,,,,,,"Hedelmä jyvä (yksisiemeninen pähkylä, jossa hedelmäseinä ja siemenkuori ovat kasvaneet yhteen).",0,1,http://tun.fi/KE.8/1128387#1,,,,,,,,,,2014-08-12,2014-08-12,9,11,2014-08-12 [9:57-11:52],"Aaltonen, Antti",60.616933000000003,60.616933000000003,23.532359000000000,23.532359000000000,60.616933000000003,23.532359000000000,6727950.000000000000000,6727951.000000000000000,3310349.000000000000000,3310350.000000000000000,6725126.000000000000000,6725127.000000000000000,310256.000000000000000,310257.000000000000000,672.000000000000000,331.000000000000000,6727.000000000000000,3310.000000000000000,2000,2010,2014,8,12,224,224,1,REPORTED_VALUE,Suomi,Etelä-Häme (EH),Somero,COORDINATES,COORDINATES,COORDINATES,,,,,,"Suomi, Etelä-Häme, Somero, Lammi, 761-416-1-90, 761-416-3-104, 761-416-4-2, cpwa","Kasvilenkki jokamiehenoikeuksin Somerolla, Havuharjun maastossa, yhä kukkivia:, hiirenvirna: Havaintovuosia 22. Ensihavainnon (kukinnan) pvm: MED 12.6. MIN 29.5. MAX 29.7., rantapalpakko: Havaintovuosia 3. Ensihavainnon pvm: MED 31.7. MIN 17.7. MAX 12.8",9,http://tun.fi/KE.8/1128387,PUBLIC,NONE,,false,http://tun.fi/HR.447,2,,,,http://tun.fi/KE.8,,,,,,,,0,313.00000,28.00000,44.00000,603.00000,33.00000,-101.00000,-23.00000,-56.00000,78.00000,212.00000,216.00000,135.00000,24.00000,150.00000,90.00000,8043.00000,117.00000,204.00000,78.00000
23.535219,60.616684,http://tun.fi/KE.8/1133049#3,Agrostis capillaris,,,,NEUTRAL,,,,http://tun.fi/MX.40593,Agrostis capillaris,nurmirölli,,rödven,,runsas,,,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_PHOTO,false,,,,,,,,"rantapolun reunoilla, röyhyn lajintunnistus hiukan epävarma.",0,1,http://tun.fi/KE.8/1133049#1,,,,,,,,,,2014-10-22,2014-10-22,11,11,2014-10-22 [11:03-11:23],"Aaltonen, Antti",60.616683999999999,60.616683999999999,23.535219000000001,23.535219000000001,60.616683999999999,23.535219000000001,6727914.000000000000000,6727915.000000000000000,3310504.000000000000000,3310505.000000000000000,6725090.000000000000000,6725091.000000000000000,310410.000000000000000,310411.000000000000000,672.000000000000000,331.000000000000000,6727.000000000000000,3310.000000000000000,2000,2010,2014,10,22,295,295,1,REPORTED_VALUE,Suomi,Etelä-Häme (EH),Somero,COORDINATES,COORDINATES,COORDINATES,,,,,,"Suomi, Etelä-Häme, Somero, Lammi, 761-416-1-90, Havuharju, etappi3, cpwa","Kasvilenkki jokamiehenoikeuksin Somerolla, kukinta ohi:, maitohorsma: Havaintovuosia 23. Ensihavainnon (kukinnan) pvm: MED 28.6. MIN 17.6. MAX 5.8., nurmirölli: Havaintovuosia 11. Ensihavainnon (kukinnan) pvm: MED 4.7. MIN 17.6. MAX 8.8., kapeaosmankä�",2,http://tun.fi/KE.8/1133049,PUBLIC,NONE,,false,http://tun.fi/HR.447,2,,,,http://tun.fi/KE.8,,,,,,,,0,313.00000,28.00000,44.00000,603.00000,33.00000,-101.00000,-23.00000,-56.00000,78.00000,212.00000,216.00000,135.00000,24.00000,150.00000,90.00000,8043.00000,117.00000,204.00000,78.00000
23.612528,60.663284,http://tun.fi/KE.8/1178875#3,Agrostis capillaris,,,,NEUTRAL,,,,http://tun.fi/MX.40593,Agrostis capillaris,nurmirölli,,rödven,,yleinen,,,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_PHOTO,false,,,,,,,,Valolan (761-419-2-20) pihalla,0,1,http://tun.fi/KE.8/1178875#1,,,,,,,,,,2016-07-02,2016-07-02,16,16,2016-07-02 [16:14-16:31],"Aaltonen, Antti",60.663283999999997,60.663283999999997,23.612528000000001,23.612528000000001,60.663283999999997,23.612528000000001,6732881.000000000000000,6732882.000000000000000,3315001.000000000000000,3315002.000000000000000,6730055.000000000000000,6730056.000000000000000,314906.000000000000000,314907.000000000000000,673.000000000000000,331.000000000000000,6732.000000000000000,3315.000000000000000,2000,2010,2016,7,2,184,184,1,REPORTED_VALUE,Suomi,Etelä-Häme (EH),Somero,COORDINATES,COORDINATES,COORDINATES,,,,,,"Suomi, Etelä-Häme, Somero, Pajula, 761-419-2-20, 761-419-3-27, cpwa","Kasvilenkki jokamiehenoikeuksin Somerolla, kukkivia:, nurmirölli: Havaintovuosia 13. Ensihavainnon pvm: MED 4.7. MIN 17.6. MAX 8.8., ketosilmäruoho: Havaintovuosia 16. Ensihavainnon pvm: MED 28.7. MIN 2.7. MAX 21.8., ei kuki:, juurtokuupikka; Havaintov",1,http://tun.fi/KE.8/1178875,PUBLIC,NONE,,false,http://tun.fi/HR.447,2,,,,http://tun.fi/KE.8,,,,,,,,0,314.00000,27.00000,46.00000,592.00000,33.00000,-100.00000,-21.00000,-55.00000,78.00000,214.00000,214.00000,137.00000,24.00000,152.00000,87.00000,8070.00000,114.00000,201.00000,77.00000
22.200247,60.427921,http://tun.fi/KE.8/1180981#39,nurmirölli,,,,NEUTRAL,,,,http://tun.fi/MX.40593,Agrostis capillaris,nurmirölli,,rödven,,muutama,,,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,false,,,,,,,,kesällä 2016,0,0,http://tun.fi/KE.8/1180981#1,,,,,,,,,,2016-08-01,2016-08-01,,,2016-08-01,"Kallio, Seppo; Kulmala, Ulla",60.427920999999998,60.427920999999998,22.200247000000001,22.200247000000001,60.427920999999998,22.200247000000001,6711516.000000000000000,6711517.000000000000000,3235968.000000000000000,3235969.000000000000000,6708699.000000000000000,6708700.000000000000000,235904.000000000000000,235905.000000000000000,671.000000000000000,323.000000000000000,6711.000000000000000,3235.000000000000000,2000,2010,2016,8,1,214,214,1,REPORTED_VALUE,Suomi,Varsinais-Suomi (V),Turku,COORDINATES,COORDINATES,COORDINATES,,Suomi,,,,"Turku, Pikisaari, Fregattikatu 3",,0,http://tun.fi/KE.8/1180981,PUBLIC,NONE,,false,http://tun.fi/HR.447,2,,,,http://tun.fi/KE.8,,,,,,,,0,304.00000,34.00000,52.00000,667.00000,27.00000,-88.00000,38.00000,-46.00000,75.00000,216.00000,211.00000,107.00000,24.00000,157.00000,110.00000,7927.00000,161.00000,189.00000,77.00000
21.447034,60.223243,http://tun.fi/KE.8/1195751#10,nurmirölli,,,,NEUTRAL,,,,http://tun.fi/MX.40593,Agrostis capillaris,nurmirölli,,rödven,,1+,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,false,,,,,,,,,0,0,http://tun.fi/KE.8/1195751#1,,,,,,,,,,2016-07-16,2016-07-16,16,,2016-07-16 [16:00],"Kalpa, Arto",60.223242999999997,60.223242999999997,21.447033999999999,21.447033999999999,60.223242999999997,21.447033999999999,6692028.000000000000000,6692029.000000000000000,3192648.000000000000000,3192649.000000000000000,6689218.000000000000000,6689219.000000000000000,192602.000000000000000,192603.000000000000000,669.000000000000000,319.000000000000000,6692.000000000000000,3192.000000000000000,2000,2010,2016,7,16,198,198,1,REPORTED_VALUE,Suomi,Varsinais-Suomi (V),Parainen,COORDINATES,COORDINATES,COORDINATES,,Suomi,Parainen,V,,"Houtskari, Saverkeit",,0,http://tun.fi/KE.8/1195751,PUBLIC,NONE,,false,http://tun.fi/HR.447,2,,,,http://tun.fi/KE.8,,,,,,,,0,292.00000,31.00000,50.00000,613.00000,29.00000,-84.00000,35.00000,-43.00000,72.00000,208.00000,202.00000,104.00000,24.00000,152.00000,99.00000,7632.00000,142.00000,172.00000,72.00000
24.893459,67.653368,http://tun.fi/MHU.21998651,nurmirölli,,,,NEUTRAL,,,,http://tun.fi/MX.40593,Agrostis capillaris,nurmirölli,,rödven,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,false,,,,,,,,GRI:7508875:3410771,0,0,http://tun.fi/MHG.21952760#23,,,,,,,,,,2009-04-22,2009-04-22,,,2009-04-22,"Juhani, Sirkiä",67.653363999999996,67.653373000000002,24.893447999999999,24.893471000000002,67.653368000000000,24.893459000000000,7508875.000000000000000,7508876.000000000000000,3410771.000000000000000,3410772.000000000000000,7505738.000000000000000,7505739.000000000000000,410635.000000000000000,410636.000000000000000,750.000000000000000,341.000000000000000,7508.000000000000000,3410.000000000000000,2000,2000,2009,4,22,112,112,1,REPORTED_VALUE,Suomi,Kittilän Lappi (KiL),Kittilä,COORDINATES,COORDINATES,COORDINATES,,Suomi,Kittilä,Lappi,,Kittilän keskusta,,0,http://tun.fi/MHD.1091132,PUBLIC,NONE,,false,http://tun.fi/HR.447,2,,,,http://tun.fi/KE.7,,,,,,,,0,388.00000,25.00000,-11.00000,478.00000,34.00000,-201.00000,-87.00000,-141.00000,91.00000,187.00000,177.00000,106.00000,23.00000,123.00000,75.00000,10159.00000,87.00000,173.00000,63.00000
25.217942,66.17089,http://tun.fi/MHU.22201432,nurmirölli,,,,NEUTRAL,,,,http://tun.fi/MX.40593,Agrostis capillaris,nurmirölli,,rödven,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,false,,,,,,,,GRI:7343171:3419808,0,0,http://tun.fi/MHG.22201400#25,,,,,,,,,,2009-04-27,2009-04-27,,,2009-04-27,"Juhani, Sirkiä",66.170885999999996,66.170895000000002,25.217931000000000,25.217952000000000,66.170890000000000,25.217942000000001,7343171.000000000000000,7343172.000000000000000,3419808.000000000000000,3419809.000000000000000,7340101.000000000000000,7340102.000000000000000,419668.000000000000000,419669.000000000000000,734.000000000000000,341.000000000000000,7343.000000000000000,3419.000000000000000,2000,2000,2009,4,27,117,117,1,REPORTED_VALUE,Suomi,Perä-Pohjanmaa (PeP),Tervola,COORDINATES,COORDINATES,COORDINATES,,Suomi,Tervola,Lappi,,Koivu,,0,http://tun.fi/MHD.1100628,PUBLIC,NONE,,false,http://tun.fi/HR.447,2,,,,http://tun.fi/KE.7,,,,,,,,0,362.00000,25.00000,9.00000,502.00000,31.00000,-165.00000,-66.00000,-112.00000,85.00000,197.00000,179.00000,119.00000,23.00000,136.00000,81.00000,9571.00000,98.00000,169.00000,66.00000
26.040765,61.903222,http://tun.fi/MHU.24760127,Agrostis capillaris,,,,NEUTRAL,,,,http://tun.fi/MX.40593,Agrostis capillaris,nurmirölli,,rödven,,,,,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,false,,,,,,,,,0,0,http://tun.fi/MHG.24760073,,,,,,,,,,2009-06-14,2009-06-14,,,2009-06-14,Lea-Elina Nikkilä,61.902766000000000,61.903677000000002,26.039828000000000,26.041702000000001,61.903222000000000,26.040765000000000,6866600.000000000000000,6866700.000000000000000,3449700.000000000000000,3449800.000000000000000,6863721.000000000000000,6863821.000000000000000,449550.000000000000000,449650.000000000000000,686.000000000000000,344.000000000000000,6866.000000000000000,3449.000000000000000,2000,2000,2009,6,14,165,165,100,REPORTED_VALUE,Suomi,Etelä-Savo (ES),Joutsa,COORDINATES,COORDINATES,COORDINATES,,Suomi,Joutsa,,,"Haapalehdon tila, Leivonmäki",,0,http://tun.fi/MHD.1201360,PUBLIC,NONE,,false,http://tun.fi/HR.447,2,,,,http://tun.fi/KE.7,,,,,,,,0,333.00000,34.00000,34.00000,653.00000,29.00000,-121.00000,-35.00000,-79.00000,75.00000,212.00000,228.00000,132.00000,22.00000,150.00000,107.00000,8836.00000,132.00000,217.00000,86.00000
29.618845,65.440847,http://tun.fi/MHU.28816680,Agrostis capillaris,,,,NEUTRAL,,,,http://tun.fi/MX.40593,Agrostis capillaris,nurmirölli,,rödven,,,,,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,false,,,,,,,,GRI:72631:36216,0,0,http://tun.fi/MHG.28816670#4,,,,,,,,,,2003-07-15,2003-07-15,,,2003-07-15,"Helin, Jussi",65.440417999999994,65.441276999999999,29.617723000000002,29.619966000000002,65.440847000000005,29.618845000000000,7263100.000000000000000,7263200.000000000000000,3621600.000000000000000,3621700.000000000000000,7260062.000000000000000,7260162.000000000000000,621379.000000000000000,621479.000000000000000,726.000000000000000,362.000000000000000,7263.000000000000000,3621.000000000000000,2000,2000,2003,7,15,196,196,100,REPORTED_VALUE,Suomi,Kainuu (Kn),Suomussalmi,COORDINATES,COORDINATES,COORDINATES,,Suomi,Suomussalmi,Kainuu,,Pahamaailma,,0,http://tun.fi/MHD.1423126,PUBLIC,NONE,,false,http://tun.fi/HR.447,2,,,,http://tun.fi/KE.7,,,,,,,,0,365.00000,30.00000,-1.00000,588.00000,31.00000,-173.00000,-75.00000,-123.00000,82.00000,192.00000,211.00000,127.00000,22.00000,127.00000,94.00000,9646.00000,106.00000,211.00000,75.00000
